round,seed,defect,coop,exploit_,exploit
806,385,33905,14046,16322,13727
807,385,32957,14379,16820,13844
808,385,31744,15531,16443,14282
809,385,31660,15654,16382,14304
810,385,32901,14328,16842,13929
811,385,32080,14587,17121,14212
812,385,30065,16040,18287,13608
813,385,32042,14710,18657,12591
814,385,30132,16030,20115,11723
815,385,27752,17813,20313,12122
816,385,27954,17653,20241,12152
817,385,27842,17652,20391,12115
818,385,28952,16549,20992,11507
819,385,29460,15312,21922,11306
820,385,31949,13949,20249,11853
821,385,30493,14268,20804,12435
822,385,30665,14155,20920,12260
823,385,32773,13003,20087,12137
824,385,32711,12831,20178,12280
825,385,30777,14152,20788,12283
826,385,30643,14409,20714,12234
827,385,30801,14173,20785,12241
828,385,30120,15284,20593,12003
829,385,32103,13878,20011,12008
830,385,29996,15203,19092,13709
831,385,30146,15332,18901,13621
832,385,27980,16721,18642,14657
833,385,29181,15564,18504,14751
834,385,31181,13971,18169,14679
835,385,31163,14028,18170,14639
836,385,31402,14060,17986,14552
837,385,30040,15168,17652,15140
838,385,31061,14110,18287,14542
839,385,29085,15439,19932,13544
840,385,31339,13959,18879,13823
841,385,31422,14121,18684,13773
842,385,30991,14163,18769,14077
843,385,30996,14049,18775,14180
844,385,33223,12548,17483,14746
845,385,33290,12517,17649,14544
846,385,33158,12613,17606,14623
847,385,33367,12529,17618,14486
848,385,33197,12559,17674,14570
849,385,32788,13396,17580,14236
850,385,32759,13476,17449,14316
851,385,30735,15043,16573,15649
852,385,30680,14968,16681,15671
853,385,31789,13728,17155,15328
854,385,31665,13945,17123,15267
855,385,31856,13814,17061,15269
856,385,33360,13391,15757,15492
857,385,33272,13238,15824,15666
858,385,33467,13285,15802,15446
859,385,33261,13335,15754,15650
860,385,33255,13275,15841,15629
861,385,30989,14804,15315,16892
862,385,33272,13586,13973,17169
863,385,35372,11889,13747,16992
864,385,35428,11988,13748,16836
865,385,36730,10989,13571,16710
866,385,37822,9991,13286,16901
867,385,35460,11003,13613,17924
868,385,36578,11022,13079,17321
869,385,35914,11574,13163,17349
870,385,33813,13007,12739,18441
871,385,31635,14559,13138,18668
872,385,31590,14754,12953,18703
873,385,30795,14995,13222,18988
874,385,28700,16447,14453,18400
875,385,28909,16557,14354,18180
876,385,30640,14823,14680,17857
877,385,30157,15813,15064,16966
878,385,32071,14494,16112,15323
879,385,32843,13393,15777,15987
880,385,30754,14996,16644,15606
881,385,28697,16448,17279,15576
882,385,28159,17380,16904,15557
883,385,28224,17465,16739,15572
884,385,29292,16994,16388,15326
885,385,28786,17727,16258,15229
886,385,30951,16152,15786,15111
887,385,33213,14477,16188,14122
888,385,33091,14538,16319,14052
889,385,30778,16233,17422,13567
890,385,31063,16286,17159,13492
891,385,29903,17452,17442,13203
892,385,31340,16717,16809,13134
893,385,29525,17489,18059,12927
894,385,29667,17404,18017,12912
895,385,29719,17520,17808,12953
896,385,30366,16373,18309,12952
897,385,30334,16519,18173,12974
898,385,31832,15705,17618,12845
899,385,29535,17403,18390,12672
900,385,31037,16812,18333,11818
901,385,29116,18545,18998,11341
902,385,29022,18690,19032,11256
903,385,28807,18730,19030,11433
904,385,30111,17090,19044,11755
905,385,29537,18196,19174,11093
906,385,31335,16449,18868,11348
907,385,32292,15498,18931,11279
908,385,31503,16559,18714,11224
909,385,30814,17313,18474,11399
910,385,30685,17520,18329,11466
911,385,30927,17420,18304,11349
912,385,30231,18583,17963,11223
913,385,28750,19542,18053,11655
914,385,27407,21362,17921,11310
915,385,27702,20875,18035,11388
916,385,27731,20865,17962,11442
917,385,25592,22866,17433,12109
918,385,24387,23772,17716,12125
919,385,25665,22878,17002,12455
920,385,25585,22875,17010,12530
921,385,25490,23062,17026,12422
