round,seed,defect,exploit,exploit_,coop
821,824,26366,14433,14119,23082
822,824,28129,13996,14512,21363
823,824,26921,13891,14635,22553
824,824,25215,13369,15166,24250
825,824,25827,13370,15026,23777
826,824,25566,13510,15218,23706
827,824,25524,13541,15237,23698
828,824,25737,13332,15189,23742
829,824,23883,13265,15579,25273
830,824,25063,13384,15484,24069
831,824,23425,12749,15981,25845
832,824,25335,13025,15538,24102
833,824,24647,13227,15469,24657
834,824,23035,13474,15279,26212
835,824,22724,13808,15057,26411
836,824,20137,14282,14378,29203
837,824,22495,13721,14757,27027
838,824,20743,13724,15222,28311
839,824,21891,13736,15092,27281
840,824,21998,13921,15064,27017
841,824,23634,14449,14422,25495
842,824,23726,14439,14479,25356
843,824,22022,14451,14319,27208
844,824,23924,14832,13947,25297
845,824,23356,14968,14002,25674
846,824,23880,15010,13950,25160
847,824,21872,14546,14276,27306
848,824,21845,14503,14304,27348
849,824,21139,14608,14297,27956
850,824,19823,14796,14042,29339
851,824,19577,14754,14037,29632
852,824,18578,14301,14694,30427
853,824,18519,14083,14271,31127
854,824,18549,14108,14346,30997
855,824,16718,13843,14633,32806
856,824,16761,13878,14579,32782
857,824,16633,13970,14639,32758
858,824,16851,13860,14504,32785
859,824,16532,13881,14636,32951
860,824,16085,13811,14555,33549
861,824,17777,14060,14475,31688
862,824,17821,14104,14559,31516
863,824,19001,14699,14362,29938
864,824,20836,14851,13641,28672
865,824,21572,14652,14276,27500
866,824,20566,14236,14131,29067
867,824,21411,14111,14814,27664
