round,seed,defect,exploit_,exploit,coop
306,130,30656,14804,14021,18519
307,130,32330,13989,14508,17173
308,130,33302,13865,14450,16383
309,130,33793,14149,14413,15645
310,130,34038,13948,14167,15847
311,130,33807,14101,14441,15651
312,130,32955,14342,13715,16988
313,130,33884,14618,13849,15649
314,130,33965,14593,13702,15740
315,130,32944,14634,13707,16715
316,130,31405,15030,13832,17733
317,130,31825,14946,13916,17313
318,130,33172,14971,13466,16391
319,130,33200,15153,13339,16308
320,130,31718,15068,14185,17029
321,130,31598,15178,14416,16808
322,130,31518,14934,14165,17383
323,130,31386,15098,14099,17417
324,130,32602,15189,13597,16612
325,130,32369,15274,13745,16612
326,130,32299,15174,13762,16765
327,130,32616,15232,13690,16462
328,130,33978,15057,13301,15664
329,130,34604,14900,13699,14797
330,130,32262,15205,13822,16711
331,130,31887,15571,13159,17383
332,130,33910,14314,13932,15844
333,130,32798,14191,14396,16615
334,130,35611,14314,13198,14877
335,130,33715,14181,14386,15718
336,130,31531,13894,15109,17466
337,130,31502,13801,14950,17747
338,130,31590,14030,15069,17311
339,130,29360,14434,14819,19387
340,130,30082,14760,14653,18505
341,130,30176,14885,14707,18232
342,130,30710,14786,14421,18083
343,130,30496,14860,14478,18166
344,130,30868,14710,14417,18005
345,130,30673,14959,14510,17858
346,130,30638,14855,14481,18026
347,130,28898,15664,14007,19431
348,130,29483,15308,13739,19470
349,130,30641,14864,13873,18622
350,130,28469,14973,14331,20227
351,130,26942,14607,14889,21562
352,130,26217,14370,14995,22418
353,130,26190,14296,15067,22447
354,130,28026,14977,14385,20612
355,130,26829,14671,14602,21898
356,130,26957,14592,14644,21807
357,130,26107,14495,14911,22487
358,130,26185,14353,14796,22666
359,130,26229,14361,14833,22577
360,130,28175,15284,14048,20493
361,130,27099,15321,14373,21207
362,130,27011,15238,14179,21572
363,130,28177,15585,13654,20584
364,130,28377,15731,13590,20302
365,130,29409,16045,12983,19563
366,130,28571,16586,12902,19941
367,130,28720,16626,13019,19635
368,130,27100,16292,13328,21280
369,130,27317,16287,13246,21150
370,130,27250,16317,13076,21357
371,130,26318,16091,12948,22643
372,130,26920,15927,13752,21401
373,130,28310,15484,13341,20865
374,130,29543,15271,13427,19759
375,130,28721,14756,13800,20723
376,130,28547,14846,13897,20710
377,130,29494,14864,14167,19475
378,130,29976,14648,13900,19476
379,130,29503,14699,14188,19610
380,130,28102,15416,14144,20338
381,130,30467,15191,13736,18606
382,130,28846,15947,12861,20346
383,130,30785,16631,12227,18357
384,130,32868,15554,12802,16776
385,130,31911,15668,13069,17352
386,130,30764,15839,12577,18820
387,130,29973,16316,12411,19300
388,130,27855,17245,11694,21206
389,130,29281,16478,12053,20188
390,130,30130,16689,12061,19120
391,130,31019,17074,11687,18220
392,130,29702,18061,11503,18734
393,130,29672,17989,11397,18942
394,130,30584,17874,11649,17893
395,130,30843,17804,11604,17749
396,130,32832,17006,11834,16328
397,130,34243,16865,11486,15406
398,130,37066,16774,10711,13449
399,130,36786,16874,10689,13651
400,130,39278,16752,9856,12114
401,130,38519,16632,10000,12849
402,130,37126,17132,10334,13408
403,130,38563,16124,10604,12709
404,130,38032,15846,10927,13195
405,130,38989,15657,10904,12450
406,130,37599,16067,11096,13238
407,130,40488,14575,11386,11551
408,130,40079,14670,11465,11786
409,130,41326,14681,10991,11002
410,130,40180,14650,11733,11437
411,130,39277,14461,12096,12166
412,130,38665,14427,11816,13092
413,130,39566,14295,12062,12077
414,130,41283,13900,11983,10834
415,130,38761,13430,13022,12787
416,130,36537,13300,14223,13940
417,130,37125,13207,13963,13705
418,130,37496,13310,13947,13247
419,130,37685,13207,13783,13325
420,130,38657,13152,13742,12449
421,130,37919,13069,13694,13318
422,130,38686,12718,13698,12898
423,130,39886,13152,13236,11726
424,130,38883,13068,13656,12393
425,130,37946,13234,13847,12973
426,130,37510,13190,13810,13490
427,130,38067,13096,13771,13066
428,130,36556,13248,13737,14459
429,130,35321,13602,14151,14926
430,130,36584,13587,13725,14104
431,130,34652,13614,14102,15632
432,130,36094,12929,14328,14649
433,130,36260,12963,14363,14414
434,130,38099,12975,14043,12883
435,130,39241,12493,13766,12500
436,130,41789,12952,12580,10679
437,130,43402,13196,12072,9330
438,130,41143,13130,12911,10816
439,130,39751,13350,12776,12123
440,130,38058,14082,13130,12730
441,130,38172,14003,13013,12812
442,130,39139,13894,12868,12099
443,130,39303,13968,12696,12033
444,130,39175,14031,12714,12080
445,130,40500,13661,12763,11076
446,130,42968,12579,12632,9821
447,130,43285,12627,12612,9476
448,130,42727,12848,12343,10082
449,130,41184,13064,13121,10631
450,130,40080,13089,13399,11432
451,130,41687,12846,12689,10778
452,130,39527,13408,13248,11817
453,130,40818,13700,12747,10735
454,130,41815,13328,12621,10236
455,130,40253,13870,12711,11166
456,130,40136,13758,12734,11372
457,130,38753,13781,13109,12357
458,130,39220,13726,12935,12119
459,130,39013,13797,13176,12014
460,130,39782,13516,12935,11767
461,130,39515,13759,13246,11480
462,130,39952,13493,12896,11659
463,130,39526,13565,13176,11733
464,130,40867,13140,13152,10841
465,130,40956,13145,13030,10869
466,130,39711,13667,13061,11561
467,130,39402,13739,13084,11775
468,130,39955,13548,13133,11364
469,130,39479,13756,13251,11514
470,130,41287,13131,12712,10870
471,130,41005,13221,12755,11019
472,130,40849,13496,12983,10672
473,130,39596,13596,13410,11398
474,130,39325,13525,13368,11782
475,130,39532,13424,13224,11820
476,130,41613,13008,12922,10457
477,130,41749,12921,13041,10289
478,130,42796,12955,12642,9607
479,130,43054,12758,12437,9751
480,130,43132,12757,12521,9590
481,130,42923,12897,12709,9471
482,130,42547,13072,12648,9733
483,130,42949,12920,12705,9426
484,130,40465,13446,13054,11035
485,130,40612,13526,13075,10787
486,130,40973,13344,12876,10807
487,130,39778,13354,13110,11758
488,130,37338,13785,13971,12906
489,130,37753,13724,13793,12730
490,130,38826,13270,13719,12185
491,130,38851,13300,13707,12142
492,130,36576,13270,14497,13657
493,130,35994,13111,14374,14521
494,130,38378,12374,14437,12811
495,130,38157,12504,14528,12811
496,130,39866,12181,14054,11899
497,130,39807,12206,13983,12004
498,130,38524,12480,14212,12784
499,130,38018,12730,14441,12811
500,130,38368,12679,14415,12538
501,130,38198,12657,14384,12761
502,130,37790,12661,14465,13084
503,130,37043,12870,14711,13376
504,130,36991,12670,14571,13768
505,130,36840,12806,14713,13641
506,130,39363,12588,14179,11870
507,130,37379,12770,14767,13084
508,130,37978,12623,14750,12649
509,130,37742,12916,14696,12646
510,130,37757,12788,14747,12708
511,130,37596,12871,14877,12656
512,130,37525,12826,14870,12779
513,130,36001,12977,15104,13918
514,130,37620,12802,14753,12825
515,130,37457,12942,14873,12728
