round,seed,defect,coop,exploit,exploit_
770,780,50925,3960,9781,13334
771,780,53521,3217,8640,12622
772,780,53599,3188,8721,12492
773,780,51240,3968,10729,12063
774,780,51161,4104,10579,12156
775,780,50911,3993,10632,12464
776,780,50850,4035,10697,12418
777,780,50885,4004,10694,12417
778,780,51540,3537,10871,12052
779,780,51587,3552,10843,12018
780,780,51527,3541,10883,12049
781,780,51306,3664,10890,12140
782,780,51498,3646,10940,11916
783,780,51426,3636,10935,12003
784,780,54132,2942,8866,12060
785,780,52932,3373,9380,12315
786,780,52886,3447,9478,12189
787,780,54030,2884,8920,12166
788,780,53542,3220,9092,12146
789,780,52371,3783,9670,12176
790,780,52272,3669,9781,12278
791,780,53670,3217,9131,11982
792,780,53652,3289,9013,12046
793,780,53568,3131,9111,12190
794,780,53817,3147,8972,12064
795,780,53142,3556,9226,12076
796,780,53098,3494,9284,12124
797,780,53391,3457,9212,11940
798,780,53022,3553,9409,12016
799,780,53134,3605,9196,12065
800,780,53158,3479,9254,12109
801,780,55729,2683,8890,10698
802,780,56513,2502,8538,10447
803,780,56874,2082,8629,10415
804,780,56921,2188,8474,10417
805,780,56806,2154,8462,10578
806,780,57335,1946,8365,10354
807,780,57281,1911,8406,10402
808,780,56060,2360,8751,10829
809,780,56463,2070,8586,10881
810,780,56467,2104,8431,10998
811,780,56492,2136,8602,10770
812,780,56617,2064,8569,10750
813,780,56823,1881,8643,10653
814,780,58149,1548,8575,9728
815,780,58189,1513,8685,9613
816,780,58194,1577,8661,9568
817,780,58009,1560,8708,9723
818,780,57933,1520,8727,9820
819,780,58120,1505,8609,9766
820,780,58034,1556,8730,9680
821,780,57803,1682,8835,9680
822,780,58497,1560,8611,9332
823,780,58453,1625,8566,9356
824,780,58499,1611,8600,9290
825,780,57285,1921,8406,10388
826,780,57045,1998,8565,10392
827,780,57418,1942,8418,10222
828,780,54549,2550,8370,12531
829,780,54708,2539,8204,12549
830,780,51921,3318,9169,13592
831,780,51945,3204,9175,13676
832,780,52108,3247,9216,13429
833,780,52166,3159,9078,13597
834,780,52034,3249,9139,13578
835,780,52079,3181,9235,13505
836,780,52003,3336,9029,13632
837,780,51055,3721,9013,14211
838,780,50697,3769,9098,14436
839,780,49527,4423,9854,14196
840,780,49995,3932,9751,14322
841,780,49971,3825,9885,14319
842,780,50359,3959,9611,14071
843,780,50041,3934,9729,14296
844,780,49958,3863,9666,14513
845,780,50061,3846,9859,14234
846,780,49990,3862,9903,14245
847,780,50212,3849,9649,14290
848,780,50153,3906,9657,14284
849,780,49990,3947,9702,14361
850,780,51427,3577,9487,13509
851,780,52951,3096,9134,12819
852,780,52646,3139,9372,12843
853,780,53123,2832,9055,12990
854,780,53192,2744,9027,13037
855,780,53633,2645,9141,12581
856,780,53941,2715,8937,12407
857,780,53830,2718,8912,12540
858,780,53854,2728,8924,12494
859,780,55042,2316,8480,12162
860,780,54814,2609,8641,11936
861,780,54614,2581,8753,12052
862,780,53302,2996,9064,12638
863,780,54270,2817,9018,11895
864,780,54254,2857,8976,11913
865,780,54113,2862,9068,11957
866,780,54244,2930,9012,11814
867,780,54262,2866,9074,11798
868,780,56314,2465,8343,10878
