round,seed,population_seed,strategy,count,percentage
170,990,721,exploitation,27973,0.36
171,990,721,coop,37950,0.49
171,990,721,defect,12799,0.16
171,990,721,exploitation,27251,0.35
172,990,721,coop,35838,0.46
172,990,721,defect,14222,0.18
172,990,721,exploitation,27940,0.36
173,990,721,coop,36624,0.47
173,990,721,defect,13588,0.17
173,990,721,exploitation,27788,0.36
174,990,721,coop,37797,0.48
174,990,721,defect,12887,0.17
174,990,721,exploitation,27316,0.35
175,990,721,coop,38315,0.49
175,990,721,defect,12325,0.16
175,990,721,exploitation,27360,0.35
176,990,721,coop,37939,0.49
176,990,721,defect,12478,0.16
176,990,721,exploitation,27583,0.35
177,990,721,coop,37982,0.49
177,990,721,defect,12561,0.16
177,990,721,exploitation,27457,0.35
178,990,721,coop,37934,0.49
178,990,721,defect,12580,0.16
178,990,721,exploitation,27486,0.35
179,990,721,coop,37691,0.48
179,990,721,defect,12699,0.16
179,990,721,exploitation,27610,0.35
180,990,721,coop,37660,0.48
180,990,721,defect,12894,0.17
180,990,721,exploitation,27446,0.35
181,990,721,coop,36230,0.46
181,990,721,defect,13959,0.18
181,990,721,exploitation,27811,0.36
182,990,721,coop,35881,0.46
182,990,721,defect,14109,0.18
182,990,721,exploitation,28010,0.36
183,990,721,coop,35101,0.45
183,990,721,defect,14610,0.19
183,990,721,exploitation,28289,0.36
184,990,721,coop,35596,0.46
184,990,721,defect,14358,0.18
184,990,721,exploitation,28046,0.36
185,990,721,coop,36043,0.46
185,990,721,defect,13985,0.18
185,990,721,exploitation,27972,0.36
186,990,721,coop,36177,0.46
186,990,721,defect,13998,0.18
186,990,721,exploitation,27825,0.36
187,990,721,coop,34613,0.44
187,990,721,defect,14893,0.19
187,990,721,exploitation,28494,0.37
188,990,721,coop,34499,0.44
188,990,721,defect,15205,0.19
188,990,721,exploitation,28296,0.36
189,990,721,coop,36832,0.47
189,990,721,defect,13376,0.17
189,990,721,exploitation,27792,0.36
190,990,721,coop,38795,0.5
190,990,721,defect,12029,0.15
190,990,721,exploitation,27176,0.35
191,990,721,coop,38948,0.5
191,990,721,defect,11904,0.15
191,990,721,exploitation,27148,0.35
192,990,721,coop,39171,0.5
192,990,721,defect,11776,0.15
192,990,721,exploitation,27053,0.35
193,990,721,coop,37153,0.48
193,990,721,defect,13171,0.17
193,990,721,exploitation,27676,0.35
194,990,721,coop,39304,0.5
194,990,721,defect,11491,0.15
194,990,721,exploitation,27205,0.35
195,990,721,coop,38371,0.49
195,990,721,defect,12142,0.16
195,990,721,exploitation,27487,0.35
196,990,721,coop,38447,0.49
196,990,721,defect,12406,0.16
196,990,721,exploitation,27147,0.35
197,990,721,coop,37669,0.48
197,990,721,defect,13145,0.17
197,990,721,exploitation,27186,0.35
198,990,721,coop,36374,0.47
198,990,721,defect,13684,0.18
198,990,721,exploitation,27942,0.36
199,990,721,coop,38775,0.5
199,990,721,defect,11815,0.15
199,990,721,exploitation,27410,0.35
200,990,721,coop,39399,0.51
200,990,721,defect,11830,0.15
200,990,721,exploitation,26771,0.34
201,990,721,coop,36323,0.47
201,990,721,defect,13574,0.17
201,990,721,exploitation,28103,0.36
202,990,721,coop,36836,0.47
202,990,721,defect,13496,0.17
202,990,721,exploitation,27668,0.35
203,990,721,coop,37544,0.48
203,990,721,defect,12662,0.16
203,990,721,exploitation,27794,0.36
204,990,721,coop,37880,0.49
204,990,721,defect,12862,0.16
204,990,721,exploitation,27258,0.35
205,990,721,coop,40351,0.52
205,990,721,defect,10970,0.14
205,990,721,exploitation,26679,0.34
206,990,721,coop,39542,0.51
206,990,721,defect,11477,0.15
206,990,721,exploitation,26981,0.35
207,990,721,coop,41642,0.53
207,990,721,defect,9900,0.13
207,990,721,exploitation,26458,0.34
208,990,721,coop,40936,0.52
208,990,721,defect,10489,0.13
208,990,721,exploitation,26575,0.34
209,990,721,coop,41087,0.53
209,990,721,defect,10503,0.13
209,990,721,exploitation,26410,0.34
210,990,721,coop,41277,0.53
210,990,721,defect,10390,0.13
210,990,721,exploitation,26333,0.34
211,990,721,coop,40945,0.52
211,990,721,defect,10314,0.13
211,990,721,exploitation,26741,0.34
212,990,721,coop,41044,0.53
212,990,721,defect,10521,0.13
212,990,721,exploitation,26435,0.34
213,990,721,coop,40773,0.52
213,990,721,defect,10632,0.14
213,990,721,exploitation,26595,0.34
214,990,721,coop,42417,0.54
214,990,721,defect,9565,0.12
214,990,721,exploitation,26018,0.33
215,990,721,coop,42309,0.54
215,990,721,defect,9262,0.12
215,990,721,exploitation,26429,0.34
216,990,721,coop,39599,0.51
216,990,721,defect,11342,0.15
216,990,721,exploitation,27059,0.35
217,990,721,coop,40001,0.51
217,990,721,defect,11110,0.14
217,990,721,exploitation,26889,0.34
218,990,721,coop,39354,0.5
218,990,721,defect,11582,0.15
218,990,721,exploitation,27064,0.35
219,990,721,coop,38970,0.5
219,990,721,defect,11825,0.15
219,990,721,exploitation,27205,0.35
220,990,721,coop,38849,0.5
220,990,721,defect,11740,0.15
220,990,721,exploitation,27411,0.35
221,990,721,coop,38149,0.49
221,990,721,defect,11971,0.15
221,990,721,exploitation,27880,0.36
222,990,721,coop,35504,0.46
222,990,721,defect,13945,0.18
222,990,721,exploitation,28551,0.37
223,990,721,coop,33867,0.43
223,990,721,defect,15706,0.2
223,990,721,exploitation,28427,0.36
224,990,721,coop,33353,0.43
224,990,721,defect,16078,0.21
224,990,721,exploitation,28569,0.37
225,990,721,coop,31937,0.41
225,990,721,defect,16880,0.22
225,990,721,exploitation,29183,0.37
226,990,721,coop,32145,0.41
226,990,721,defect,17017,0.22
226,990,721,exploitation,28838,0.37
227,990,721,coop,31644,0.41
227,990,721,defect,17276,0.22
227,990,721,exploitation,29080,0.37
228,990,721,coop,31921,0.41
228,990,721,defect,17089,0.22
228,990,721,exploitation,28990,0.37
229,990,721,coop,31760,0.41
229,990,721,defect,17187,0.22
229,990,721,exploitation,29053,0.37
230,990,721,coop,32642,0.42
230,990,721,defect,17015,0.22
230,990,721,exploitation,28343,0.36
231,990,721,coop,32146,0.41
231,990,721,defect,17123,0.22
231,990,721,exploitation,28731,0.37
232,990,721,coop,31915,0.41
232,990,721,defect,16978,0.22
232,990,721,exploitation,29107,0.37
233,990,721,coop,30568,0.39
233,990,721,defect,18202,0.23
233,990,721,exploitation,29230,0.37
234,990,721,coop,31295,0.4
234,990,721,defect,18139,0.23
234,990,721,exploitation,28566,0.37
235,990,721,coop,31071,0.4
235,990,721,defect,18033,0.23
235,990,721,exploitation,28896,0.37
236,990,721,coop,32469,0.42
236,990,721,defect,15948,0.2
236,990,721,exploitation,29583,0.38
237,990,721,coop,30420,0.39
237,990,721,defect,17966,0.23
237,990,721,exploitation,29614,0.38
238,990,721,coop,31815,0.41
238,990,721,defect,17498,0.22
238,990,721,exploitation,28687,0.37
239,990,721,coop,32999,0.42
239,990,721,defect,16460,0.21
239,990,721,exploitation,28541,0.37
240,990,721,coop,33325,0.43
240,990,721,defect,15961,0.2
240,990,721,exploitation,28714,0.37
241,990,721,coop,33259,0.43
241,990,721,defect,16330,0.21
241,990,721,exploitation,28411,0.36
242,990,721,coop,32529,0.42
242,990,721,defect,16721,0.21
242,990,721,exploitation,28750,0.37
243,990,721,coop,31956,0.41
243,990,721,defect,17040,0.22
243,990,721,exploitation,29004,0.37
244,990,721,coop,29681,0.38
244,990,721,defect,19026,0.24
244,990,721,exploitation,29293,0.38
245,990,721,coop,29068,0.37
245,990,721,defect,19795,0.25
245,990,721,exploitation,29137,0.37
246,990,721,coop,30687,0.39
