round,seed,defect,exploit_,exploit,coop
665,179,21843,12846,16282,27029
666,179,21944,12739,16195,27122
667,179,19534,13335,15456,29675
668,179,20790,13213,15725,28272
669,179,19789,12991,15888,29332
670,179,19563,13240,15819,29378
671,179,18654,12760,16191,30395
672,179,17034,13122,15485,32359
673,179,18167,12995,15810,31028
674,179,18286,12951,15971,30792
675,179,17135,12842,16277,31746
676,179,17906,13699,16065,30330
677,179,17765,13700,15835,30700
678,179,18075,13559,15894,30472
679,179,18968,13358,16685,28989
680,179,19771,12820,17613,27796
681,179,20355,13197,17202,27246
682,179,21608,13278,16774,26340
683,179,23380,14177,15881,24562
684,179,23490,14281,15880,24349
685,179,23500,14089,15756,24655
686,179,24433,14044,15749,23774
687,179,24467,14230,15605,23698
688,179,24781,14176,15662,23381
689,179,23435,14819,15262,24484
690,179,23166,15039,15524,24271
691,179,22235,15064,15259,25442
692,179,20952,14588,15489,26971
693,179,19106,13356,16427,29111
694,179,19005,13439,16495,29061
695,179,20084,13634,16154,28128
696,179,21045,14036,15527,27392
697,179,22211,13454,16151,26184
698,179,21697,13484,16542,26277
699,179,20843,13565,15758,27834
700,179,18650,13394,16015,29941
701,179,18544,13286,16057,30113
702,179,18753,13307,16132,29808
703,179,17681,13731,15180,31408
704,179,17365,13578,15198,31859
705,179,16922,13899,15006,32173
706,179,17856,14394,15360,30390
707,179,16154,14242,14646,32958
708,179,14302,13007,15107,35584
709,179,12744,12339,15231,37686
710,179,13204,12439,15445,36912
711,179,13315,12518,15354,36813
712,179,13395,12438,15305,36862
713,179,14491,13177,14985,35347
714,179,16187,12575,16226,33012
715,179,14581,13226,15035,35158
716,179,15207,14338,14531,33924
717,179,16618,15109,14396,31877
718,179,15948,15366,14367,32319
719,179,16188,15313,14497,32002
720,179,15617,15401,14229,32753
721,179,15104,15906,14046,32944
722,179,13606,14564,14873,34957
723,179,13590,14487,14760,35163
724,179,15122,13865,16206,32807
725,179,14399,13809,16305,33487
726,179,13769,13743,16476,34012
727,179,15129,13389,17298,32184
728,179,14077,13237,17963,32723
729,179,14228,13166,18065,32541
730,179,14515,13314,17896,32275
731,179,15094,12928,17961,32017
732,179,15271,13069,18031,31629
733,179,13797,12717,17368,34118
734,179,13086,12798,16632,35484
735,179,13869,13357,16664,34110
736,179,13758,13476,16813,33953
737,179,13768,13459,16808,33965
738,179,14742,13208,16707,33343
739,179,15155,13393,16277,33175
740,179,14321,13962,15434,34283
741,179,16123,12874,16605,32398
742,179,16490,12910,16738,31862
743,179,15415,12931,17073,32581
744,179,15689,12788,17126,32397
745,179,15399,12767,17225,32609
746,179,15337,12727,17177,32759
747,179,15215,12638,17004,33143
748,179,14479,13216,15969,34336
749,179,13454,12473,15891,36182
750,179,11758,11666,16361,38215
751,179,11142,11966,15722,39170
752,179,12931,13168,15312,36589
753,179,13796,13759,15522,34923
754,179,15502,13608,16386,32504
755,179,15176,13771,16270,32783
756,179,15107,13857,16143,32893
757,179,16790,14774,15856,30580
758,179,17666,14390,15908,30036
759,179,17620,14336,15853,30191
760,179,16620,14437,14980,31963
761,179,18493,14569,15410,29528
762,179,18840,14751,15171,29238
763,179,18345,14868,15059,29728
764,179,18992,15061,14672,29275
765,179,18561,14914,14791,29734
766,179,18478,15093,14872,29557
767,179,18566,15004,14807,29623
768,179,19464,15259,14378,28899
769,179,20577,15219,15019,27185
770,179,19805,14668,15528,27999
771,179,19644,14812,15523,28021
772,179,20816,14849,15201,27134
773,179,18890,14209,15800,29101
774,179,17882,14064,16146,29908
