round,seed,exploit,defect,exploit_,coop
716,612,12255,30568,16895,18282
717,612,12320,31333,16947,17400
718,612,12182,32010,17379,16429
719,612,12278,31456,17701,16565
720,612,12086,31514,17649,16751
721,612,12299,30581,17176,17944
722,612,12760,33155,15970,16115
723,612,13923,31770,15645,16662
724,612,14311,30715,15402,17572
725,612,15130,32998,13778,16094
726,612,15012,33010,13857,16121
727,612,15477,34536,13332,14655
728,612,15749,33945,13349,14957
729,612,16288,32821,13298,15593
730,612,16038,33234,13283,15445
731,612,16187,33143,13326,15344
732,612,16139,32351,13849,15661
733,612,16039,31466,13795,16700
734,612,16456,30471,13362,17711
735,612,15610,32835,13501,16054
736,612,15618,32572,13532,16278
737,612,15308,33591,13885,15216
738,612,15348,33656,13844,15152
739,612,13882,36034,14493,13591
740,612,14199,35733,14679,13389
741,612,13954,35355,14429,14262
742,612,13404,36550,14764,13282
743,612,13556,36444,14875,13125
744,612,13219,35680,15186,13915
745,612,13567,34600,14779,15054
746,612,13670,34648,14836,14846
747,612,13630,34496,14899,14975
748,612,13524,34873,14829,14774
749,612,14300,33321,14652,15727
750,612,13776,34185,15130,14909
751,612,13625,33251,15483,15641
752,612,13669,33144,15523,15664
753,612,13947,32665,15595,15793
754,612,14267,31573,14930,17230
755,612,14278,30874,15433,17415
756,612,15176,33118,14086,15620
757,612,15342,32772,13942,15944
758,612,15434,31287,14133,17146
759,612,15081,32724,13699,16496
760,612,15232,32604,13780,16384
761,612,15111,32725,13604,16560
762,612,16038,31519,13395,17048
763,612,15992,31235,13276,17497
764,612,17043,30101,12780,18076
765,612,16897,30130,12850,18123
766,612,16882,31352,12393,17373
767,612,17143,29163,12553,19141
768,612,16758,30603,12000,18639
769,612,17065,32174,11793,16968
770,612,17436,30727,12142,17695
771,612,17552,31295,12487,16666
772,612,17811,32106,12247,15836
773,612,17635,33059,11965,15341
774,612,17743,33036,11957,15264
775,612,17453,32951,11914,15682
776,612,17936,31678,12279,16107
777,612,17673,29485,13155,17687
778,612,17367,30380,13035,17218
779,612,17231,30375,12878,17516
780,612,17547,31068,12806,16579
781,612,16860,32491,12853,15796
782,612,16851,32331,12928,15890
783,612,17307,33451,12719,14523
784,612,16425,31124,13998,16453
785,612,16639,31067,13968,16326
786,612,15869,33490,13987,14654
787,612,15949,32517,13911,15623
788,612,16360,33296,13567,14777
789,612,16585,33057,13674,14684
790,612,16468,33510,13535,14487
791,612,15995,32025,14042,15938
792,612,16104,31928,14005,15963
793,612,16295,32677,13980,15048
794,612,16045,32318,14315,15322
795,612,14750,34281,15085,13884
796,612,15361,33071,14776,14792
797,612,13589,35728,15317,13366
798,612,13773,33927,15797,14503
799,612,13339,33130,15904,15627
800,612,13194,32412,16803,15591
801,612,13096,32581,16634,15689
802,612,13085,32308,16603,16004
803,612,12273,34497,16991,14239
804,612,12161,33716,16703,15420
805,612,12392,32779,17227,15602
806,612,12114,33005,17226,15655
807,612,12617,35045,16147,14191
808,612,12000,37415,15846,12739
809,612,11983,36801,16420,12796
810,612,12024,36723,16444,12809
811,612,11867,36129,16432,13572
812,612,11557,37440,16354,12649
813,612,11727,37426,16421,12426
814,612,12159,36481,16453,12907
815,612,12702,38863,15103,11332
816,612,12636,39569,14657,11138
817,612,12735,38606,14698,11961
818,612,12833,38573,14772,11822
819,612,13491,36818,15065,12626
820,612,13288,37136,14970,12606
821,612,14114,35549,14913,13424
822,612,14123,37096,14313,12468
823,612,13671,38100,14015,12214
824,612,14369,37130,13896,12605
825,612,14522,37887,13640,11951
826,612,14697,37820,13674,11809
827,612,14582,37852,13689,11877
828,612,15087,39244,12992,10677
829,612,14687,38067,13669,11577
830,612,13581,40204,13848,10367
831,612,13600,40135,13898,10367
832,612,13984,39412,13534,11070
833,612,13860,38007,14025,12108
834,612,13426,37369,14226,12979
835,612,13088,38610,14228,12074
836,612,12883,38754,14121,12242
837,612,12835,38856,14219,12090
838,612,13044,37307,14732,12917
839,612,13245,36727,14805,13223
840,612,13364,35740,14439,14457
841,612,13179,34144,14943,15734
842,612,13220,34457,14990,15333
843,612,13565,35402,14797,14236
844,612,13426,34153,14939,15482
845,612,13643,33386,14529,16442
846,612,13575,33375,14540,16510
847,612,12664,34688,14882,15766
848,612,12872,34605,15034,15489
849,612,12715,36023,14561,14701
850,612,12629,36054,14491,14826
851,612,12893,37717,13605,13785
852,612,14178,35391,13203,15228
853,612,14871,33392,12905,16832
854,612,15135,32368,12945,17552
855,612,15015,32247,12897,17841
856,612,14892,33314,12864,16930
857,612,14763,33394,12864,16979
858,612,14733,33913,12737,16617
859,612,14924,32621,13220,17235
860,612,14698,32721,12901,17680
861,612,14939,32439,13137,17485
862,612,14765,32700,12880,17655
863,612,14541,34133,12831,16495
864,612,14736,31324,13804,18136
865,612,14658,31778,13612,17952
866,612,13361,34190,13928,16521
867,612,13493,33886,14242,16379
868,612,13925,32548,13766,17761
