round,seed,defect,coop,exploit_,exploit
825,385,16142,32744,14411,14703
826,385,18200,30278,14984,14538
827,385,18447,30118,15059,14376
828,385,18915,29595,14944,14546
829,385,20079,28342,14871,14708
830,385,20619,27894,14761,14726
831,385,21300,27003,15073,14624
832,385,20721,27819,14748,14712
833,385,20354,28323,14776,14547
834,385,20679,27634,14869,14818
835,385,21265,27013,14868,14854
836,385,19964,28096,15047,14893
837,385,20241,27774,15158,14827
838,385,20018,28270,14900,14812
839,385,19693,28039,15145,15123
840,385,20387,27340,15021,15252
841,385,20616,27340,14742,15302
842,385,20633,27151,14940,15276
843,385,18884,28324,14965,15827
844,385,19367,27592,15053,15988
845,385,19560,27567,14932,15941
846,385,19567,27329,15085,16019
847,385,20337,26741,14949,15973
848,385,18967,28779,14409,15845
849,385,21187,26860,14069,15884
850,385,21207,26433,14301,16059
851,385,21065,26852,13930,16153
852,385,21457,26656,14048,15839
853,385,21445,26717,13949,15889
854,385,21163,26755,14024,16058
855,385,20194,28073,13721,16012
856,385,20168,28042,13821,15969
857,385,19603,28951,13830,15616
858,385,20196,28142,13613,16049
859,385,18883,29181,13614,16322
860,385,19442,28245,14016,16297
861,385,19554,28887,13531,16028
862,385,18685,29374,13725,16216
863,385,20326,27658,13545,16471
864,385,20663,28015,13210,16112
865,385,18300,29698,13626,16376
866,385,17058,30671,13901,16370
867,385,17714,29596,14321,16369
868,385,19271,28356,14057,16316
869,385,18949,28366,14179,16506
870,385,18718,28809,14056,16417
871,385,16754,30906,14004,16336
872,385,16101,31426,14035,16438
873,385,14107,33692,14028,16173
874,385,14686,33060,13860,16394
875,385,15140,32060,14340,16460
876,385,14976,31375,14825,16824
877,385,15418,31621,14376,16585
878,385,15912,30727,14802,16559
879,385,14359,31856,15250,16535
880,385,13893,32629,15199,16279
881,385,13276,33063,15206,16455
882,385,13393,33103,15219,16285
883,385,14825,32463,14556,16156
884,385,15174,31784,14679,16363
885,385,15656,30920,14987,16437
886,385,15615,30795,14996,16594
887,385,18098,29245,14852,15805
888,385,18520,28230,15101,16149
889,385,17599,29323,15138,15940
890,385,17989,29098,15121,15792
891,385,19689,27779,14737,15795
892,385,20235,26817,14843,16105
