round,seed,defect,exploit,exploit_,coop
820,711,5731,13499,11915,46855
821,711,6103,13644,12084,46169
822,711,5781,13500,12272,46447
823,711,5839,13485,12022,46654
824,711,7548,13899,12137,44416
825,711,7607,13805,12141,44447
826,711,7562,13992,12441,44005
827,711,7999,13991,12964,43046
828,711,7647,13966,12602,43785
829,711,7795,13976,12563,43666
830,711,7681,13929,12694,43696
831,711,7467,13944,12339,44250
832,711,7647,13991,12457,43905
833,711,7472,13928,12427,44173
834,711,9693,14840,12486,40981
835,711,9500,14742,12401,41357
836,711,9045,14667,12098,42190
837,711,7363,13899,12349,44389
838,711,7566,13881,12327,44226
839,711,7061,14046,12304,44589
840,711,7320,13994,12525,44161
841,711,7318,14011,12519,44152
842,711,7122,13904,12272,44702
843,711,7216,14178,12714,43892
844,711,7696,14139,12496,43669
845,711,7674,14398,12661,43267
846,711,7698,14437,12946,42919
847,711,7720,14171,12927,43182
848,711,7756,14021,12762,43461
849,711,7540,13945,12608,43907
850,711,7698,14095,12587,43620
851,711,7430,13782,12467,44321
852,711,6851,13682,12704,44763
853,711,6943,13553,12598,44906
854,711,6877,13578,12770,44775
855,711,6648,13462,12380,45510
856,711,8550,14092,12146,43212
857,711,8225,14239,11925,43611
858,711,6572,13380,12024,46024
859,711,6605,13410,12433,45552
860,711,6690,13593,12519,45198
861,711,6534,13392,12242,45832
862,711,6607,13227,12290,45876
863,711,8245,14602,11895,43258
864,711,8445,14456,11614,43485
865,711,8326,14603,11732,43339
866,711,8370,14345,11556,43729
867,711,7961,14058,11733,44248
