round,seed,defect,coop,exploit,exploit_
937,990,6222,47510,10958,13310
938,990,6133,47809,10650,13408
939,990,6117,47817,10719,13347
940,990,4926,50447,10116,12511
941,990,4509,51023,10155,12313
942,990,4883,50186,10610,12321
943,990,4835,50419,10570,12176
944,990,5036,50165,10676,12123
945,990,4442,51060,10179,12319
946,990,4255,51570,9951,12224
947,990,4257,51646,9772,12325
948,990,4094,51319,10148,12439
949,990,4207,51642,9792,12359
950,990,5240,48914,11078,12768
951,990,5718,47996,11219,13067
952,990,6201,47745,11100,12954
953,990,6597,46926,11539,12938
954,990,6692,46725,11518,13065
955,990,8118,44237,10911,14734
956,990,8807,43459,11289,14445
957,990,8602,43351,11394,14653
958,990,8112,44176,11012,14700
959,990,8790,43522,11010,14678
960,990,8478,43545,11102,14875
961,990,8073,43772,11040,15115
962,990,9474,41908,11324,15294
963,990,9857,41366,11222,15555
964,990,10410,40723,11568,15299
965,990,9861,41287,11773,15079
966,990,8570,43951,11959,13520
967,990,8749,43328,12342,13581
968,990,8596,43432,12391,13581
969,990,8455,43624,12255,13666
970,990,10069,41302,13339,13290
971,990,9558,41723,13700,13019
972,990,9918,41274,13620,13188
973,990,10333,40901,13821,12945
974,990,9281,42628,13016,13075
975,990,9147,42809,12801,13243
976,990,10497,40900,12671,13932
977,990,10564,40256,13036,14144
978,990,9500,42471,12841,13188
979,990,11406,39461,12983,14150
980,990,10994,40194,12755,14057
981,990,10679,40484,12720,14117
982,990,8866,42757,12883,13494
983,990,8828,43317,12593,13262
984,990,9311,42584,12663,13442
985,990,7972,44849,12187,12992
986,990,8203,44315,12535,12947
987,990,8278,44273,12426,13023
988,990,8567,43728,12548,13157
989,990,8686,43926,12289,13099
990,990,8530,43965,12466,13039
991,990,8484,44072,12340,13104
992,990,8923,43408,12283,13386
993,990,7223,45986,11861,12930
994,990,7004,46263,11812,12921
995,990,7090,45962,12096,12852
996,990,7063,46236,11855,12846
997,990,7180,46053,11932,12835
998,990,6994,46462,11945,12599
999,990,7216,45892,12285,12607
1000,990,7213,46099,12161,12527
