round,seed,defect,exploit_,exploit,coop
834,130,43948,12949,12178,8925
835,130,43822,12955,11993,9230
836,130,44110,12878,12196,8816
837,130,44026,12840,12051,9083
838,130,42592,13582,11667,10159
839,130,39976,14091,12282,11651
840,130,38436,14293,12739,12532
841,130,37606,14655,12503,13236
842,130,35026,15292,12845,14837
843,130,34185,15289,12758,15768
844,130,35035,15659,12487,14819
845,130,33497,16032,12294,16177
846,130,34892,16302,12159,14647
847,130,35081,16158,11855,14906
848,130,35907,15968,12124,14001
849,130,36985,15716,12350,12949
850,130,37875,16085,11848,12192
851,130,36938,16199,11700,13163
852,130,36838,16198,11691,13273
853,130,35548,16474,11734,14244
854,130,32886,17064,12170,15880
855,130,32282,16321,12492,16905
856,130,31455,16736,12430,17379
857,130,30801,16375,13056,17768
858,130,30772,16179,12818,18231
859,130,29994,16536,13106,18364
860,130,31652,15933,13256,17159
861,130,30685,15485,13781,18049
862,130,28329,16855,12840,19976
863,130,27109,16364,13081,21446
864,130,28449,15634,13308,20609
865,130,26864,15551,13905,21680
866,130,28171,15261,13782,20786
867,130,26553,15743,13326,22378
868,130,27820,15181,13665,21334
