round,seed,exploit,defect,exploit_,coop
749,123,16966,39542,14383,7109
750,123,16920,39603,14393,7084
751,123,16969,39534,14451,7046
752,123,17565,38689,13683,8063
753,123,17801,38521,13691,7987
754,123,17832,38454,13713,8001
755,123,18635,36301,13901,9163
756,123,18676,36377,13999,8948
757,123,18740,36230,13917,9113
758,123,18705,36382,13955,8958
759,123,18612,36254,13899,9235
760,123,19811,35143,13816,9230
761,123,17830,37321,14725,8124
762,123,19053,35122,14585,9240
763,123,19123,35015,14662,9200
764,123,17913,37464,14473,8150
765,123,17118,35232,16416,9234
766,123,17266,35007,16483,9244
767,123,18236,33044,16411,10309
768,123,17337,34084,17196,9383
769,123,17295,33998,17185,9522
770,123,17442,33873,17251,9434
771,123,17509,33808,17235,9448
772,123,16482,36000,17071,8447
773,123,16332,35997,17252,8419
774,123,15910,38251,16387,7452
775,123,15635,38525,16493,7347
776,123,15861,38319,16392,7428
777,123,16666,40433,14459,6442
778,123,16587,40599,14416,6398
779,123,16707,40501,14394,6398
780,123,16495,40453,14629,6423
781,123,16587,40586,14457,6370
782,123,15966,42735,13837,5462
783,123,14823,45195,13294,4688
784,123,14687,45408,13220,4685
785,123,15199,44023,13503,5275
786,123,16611,41920,13286,6183
787,123,16667,41770,13529,6034
788,123,17056,39645,14120,7179
789,123,17072,39466,14246,7216
790,123,16966,39790,14142,7102
791,123,17143,39446,14359,7052
792,123,15731,41863,14195,6211
793,123,15571,41909,14243,6277
794,123,15577,41846,14383,6194
795,123,15574,41804,14338,6284
796,123,15606,41919,14293,6182
797,123,16075,43005,13462,5458
798,123,16125,42796,13582,5497
799,123,15982,42884,13643,5491
800,123,15766,45243,12182,4809
801,123,15721,45231,12266,4782
802,123,15652,45448,12224,4676
803,123,13938,47847,12452,3763
804,123,13293,50035,11483,3189
805,123,13392,47741,12958,3909
806,123,13433,47739,12885,3943
807,123,13478,47612,13014,3896
808,123,14248,45287,13727,4738
809,123,14366,45410,13573,4651
810,123,14530,45078,13747,4645
811,123,14519,45064,13767,4650
812,123,13758,46670,13149,4423
813,123,12914,48208,12612,4266
814,123,13051,47998,12706,4245
815,123,13073,48008,12681,4238
816,123,13029,47879,12851,4241
817,123,13551,45664,13637,5148
818,123,13578,45649,13648,5125
819,123,13536,45540,13816,5108
820,123,14607,44552,13127,5714
821,123,14567,44413,13146,5874
822,123,14610,44310,13295,5785
823,123,15320,43287,12884,6509
824,123,15318,43260,12877,6545
825,123,16620,40981,12841,7558
826,123,16748,41045,12708,7499
827,123,16816,40955,12822,7407
828,123,16793,41071,12680,7456
829,123,16810,40795,12836,7559
830,123,16658,41029,12805,7508
831,123,17588,38496,13227,8689
832,123,17545,38712,13205,8538
833,123,18066,36547,13608,9779
834,123,18088,36382,13746,9784
835,123,17873,37295,13952,8880
836,123,18037,37331,13910,8722
837,123,16898,38603,14474,8025
838,123,17121,38467,14488,7924
839,123,17312,36150,15495,9043
840,123,17406,36210,15388,8996
841,123,17244,36312,15399,9045
842,123,17182,36386,15423,9009
843,123,16648,34224,16868,10260
844,123,16682,33152,16959,11207
845,123,15526,35252,17270,9952
846,123,16097,37373,15554,8976
847,123,17242,35408,15465,9885
848,123,17362,35312,15433,9893
849,123,17243,35397,15290,10070
850,123,16970,37509,14752,8769
851,123,17041,37482,14574,8903
852,123,16986,37468,14704,8842
