round,seed,exploit,defect,exploit_,coop
782,123,15198,43348,12460,6994
783,123,14228,45834,11999,5939
784,123,14054,45911,12046,5989
785,123,13951,46967,11742,5340
786,123,15374,44590,11831,6205
787,123,15765,45735,11055,5445
788,123,15697,45800,11012,5491
789,123,15732,45646,11083,5539
790,123,15646,45718,11114,5522
791,123,14998,46725,11460,4817
792,123,13231,49434,11264,4071
793,123,13448,48214,11781,4557
794,123,13414,48211,11717,4658
795,123,12608,49409,11911,4072
796,123,12751,49287,11931,4031
797,123,12741,49523,11744,3992
798,123,12698,49472,11874,3956
799,123,12584,49403,11966,4047
800,123,12188,52004,10534,3274
801,123,12221,51969,10480,3330
802,123,11907,53325,9914,2854
803,123,12125,53282,9889,2704
804,123,12199,53002,9992,2807
805,123,12452,50462,11611,3475
806,123,12449,50647,11344,3560
807,123,12536,50468,11483,3513
808,123,12467,50516,11530,3487
809,123,11791,51836,11320,3053
810,123,12039,51399,11599,2963
811,123,12067,51472,11413,3048
812,123,12181,50655,11748,3416
813,123,10974,53206,11018,2802
814,123,9120,55830,10931,2119
815,123,8987,55940,10923,2150
816,123,9089,55640,11012,2259
817,123,9965,53082,12121,2832
818,123,9835,53101,12159,2905
819,123,9822,52999,12362,2817
820,123,10754,52107,11811,3328
821,123,10598,53045,11475,2882
822,123,10476,53041,11577,2906
823,123,11379,52000,11338,3283
824,123,12096,50757,11322,3825
825,123,13595,48189,11551,4665
826,123,13722,48194,11403,4681
827,123,13156,49346,11540,3958
828,123,13159,49500,11284,4057
829,123,12821,50490,11165,3524
830,123,12758,51765,10417,3060
831,123,13029,51571,10372,3028
832,123,12880,51691,10457,2972
833,123,12867,51843,10298,2992
834,123,12926,51574,10396,3104
835,123,12981,51364,10573,3082
836,123,12890,51753,10418,2939
837,123,11820,52824,10730,2626
838,123,11959,52726,10792,2523
839,123,11914,52629,10849,2608
840,123,13030,50190,11615,3165
841,123,13003,50041,11741,3215
842,123,13116,49190,11995,3699
843,123,13158,49170,11850,3822
844,123,13348,49058,11895,3699
845,123,13233,49267,11775,3725
846,123,13302,48999,11935,3764
847,123,13192,49187,11943,3678
848,123,13233,49146,11944,3677
849,123,13282,49118,11887,3713
850,123,12303,51837,10781,3079
851,123,14440,48971,10797,3792
852,123,14374,48972,10919,3735
853,123,14348,49127,10752,3773
854,123,14273,49281,10718,3728
855,123,15900,46535,11073,4492
856,123,15391,45697,11890,5022
857,123,13600,48098,11968,4334
858,123,13614,47965,12103,4318
859,123,13806,48014,11922,4258
860,123,13698,48050,12013,4239
861,123,12019,50668,11811,3502
862,123,12063,49536,12310,4091
863,123,12254,49410,12271,4065
864,123,12323,46843,13931,4903
865,123,12391,46986,13847,4776
866,123,11143,49262,13491,4104
867,123,10127,51950,12668,3255
868,123,10164,52016,12587,3233
869,123,9440,53395,12349,2816
870,123,10418,52001,12209,3372
871,123,9988,54745,10710,2557
872,123,10061,54665,10563,2711
873,123,10084,54466,10813,2637
874,123,10079,54665,10659,2597
875,123,10122,54561,10807,2510
876,123,10093,54752,10570,2585
877,123,10075,54670,10647,2608
878,123,10195,54452,10788,2565
879,123,10044,54677,10686,2593
880,123,10137,54685,10556,2622
881,123,10052,54664,10699,2585
882,123,10135,54646,10581,2638
883,123,10750,53071,11345,2834
884,123,10746,53042,11406,2806
885,123,10565,53372,11255,2808
886,123,10538,52076,12150,3236
887,123,10652,51729,12310,3309
888,123,10506,52136,12052,3306
889,123,11247,49571,13196,3986
890,123,11172,49336,13393,4099
891,123,11340,48968,13162,4530
892,123,11291,49414,13337,3958
893,123,11259,49371,13411,3959
894,123,11172,49445,13346,4037
895,123,11214,49416,13316,4054
896,123,11454,49264,13211,4071
897,123,11275,49349,13350,4026
898,123,11701,48316,13299,4684
899,123,11858,48124,13421,4597
900,123,11646,47095,14014,5245
901,123,11215,45816,14906,6063
902,123,11248,45771,14966,6015
903,123,11259,45976,14739,6026
904,123,11353,45780,14838,6029
905,123,11887,44770,14611,6732
906,123,11203,45743,15112,5942
907,123,10559,48248,14178,5015
908,123,10482,48487,14085,4946
909,123,10443,48473,13997,5087
910,123,10526,47138,15085,5251
911,123,10543,46974,15212,5271
